가성진,딱 너 같은 딸,mbc,2015-05-18,13.9,달래네 집,kbs2,2004-05-17,,언제나 두근두근,kbs2,2002-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강성진,우리 집 꿀단지,kbs1,2015-11-02,30,지성이면 감천,kbs1,2013-04-29,28.4,다 줄거야,kbs2,2009-10-12,17.2,드라마시티 - 늙은 양아치의 노래,kbs2,2007-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강윤경,트로트의 연인,kbs2,2014-06-23,9.2,망설이지마,sbs,2009-10-05,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구현숙,두 번은 없다,mbc,2019-11-02,13.2,월계수 양복점 신사들,kbs2,2016-08-27,36.2,전설의 마녀,mbc,2014-10-25,31.4,백년의 유산,mbc,2013-01-05,30.3,불굴의 며느리,mbc,2011-06-06,20.5,춘자네 경사났네,mbc,2008-05-19,9.8,열아홉 순정,kbs1,2006-05-22,43.2,TV소설 그대는 별,kbs1,2004-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권기경,안단테,kbs1,2017-09-24,2.8,옥션하우스,mbc,2007-09-30,,성장드라마 반올림# 2,kbs2,2005-03-06,6.7,성장드라마 반올림# 1,kbs2,2003-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권기영,수상한 파트너,sbs,2017-05-10,10.5,너를 기억해,kbs2,2015-06-22,5.3,내 연애의 모든 것,sbs,2013-04-04,7.4,드라마 스페셜 - 친구 중에 범인이 있다,kbs2,2012-10-21,4.3,보스를 지켜라,sbs,2011-08-03,17.8,드라마 스페셜 - 옆집 아줌마,kbs2,2010-06-19,,사랑에 미치다,sbs,2007-02-03,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권민수,우아한 가,mbn,2019-08-21,8.5,칼과 꽃,kbs2,2013-07-03,6.7,엄마도 예쁘다,kbs2,2010-04-05,11.7,꽃피는 봄이 오면,kbs2,2007-01-15,16.4,사랑은 기적이 필요해,sbs,2005-10-05,,보디가드,kbs2,2003-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권소라,손 the guest,ocn,2018-09-12,4.1,안투라지,tvn,2016-11-04,2.3,패밀리,kbs2,2012-08-13,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권소연,드라마시티 - 내게 아주 특별한 연인,kbs2,2007-08-18,,로맨스 헌터,tvn,2007-02-07,,루루공주,sbs,2005-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권순규,대박,sbs,2016-03-28,12.2,불의 여신 정이,mbc,2013-07-01,12,무사 백동수,sbs,2011-07-04,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권음미,캐리어를 끄는 여자,mbc,2016-09-26,10,갑동이,tvn,2014-04-11,2.3,로열 패밀리,mbc,2011-03-02,15.7,종합병원 2,mbc,2008-11-19,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권인찬,빛나거나 미치거나,mbc,2015-01-19,14.3,마법 천자문,kbs2,2014-08-06,,버디버디,tvn,2011-08-08,,641 가족,kbs2,2005-12-05,,마법전사 미르가온,kbs2,2005-01-03,,매직키드 마수리,kbs2,2002-02-18,,좋아 좋아,sbs,2000-04-30,,승부사,sbs,1998-09-16,,해빙,sbs,1995-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
권혜주,"하이바이, 마마!",tvn,2020-02-22,6.5,고백부부,kbs2,2017-10-13,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김경세,슈퍼대디 열,tvn,2015-03-13,1.9,늑대,mbc,2006-01-16,13.8,드라마시티 - 닥터러브,kbs2,2004-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김경희,365 : 운명을 거스르는 1년,mbc,2020-03-23,5.1,군주 - 가면의 주인,mbc,2017-05-10,14.9,자체발광 오피스,mbc,2017-03-15,7.4,운빨로맨스,mbc,2016-05-25,10.3,전설의 마녀,mbc,2014-10-25,31.4,마마,mbc,2014-08-02,20.3,빛나는 로맨스,mbc,2013-12-23,15.2,아들 녀석들,mbc,2012-09-22,9.2,글로리아,mbc,2010-07-31,13.5,히어로,mbc,2009-11-18,6.6,라이프 특별조사팀,mbc,2008-04-13,,그라운드 제로,mbc,2007-07-11,4.1,얼마나 좋길래,mbc,2006-07-03,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김규완,아이언맨,kbs2,2014-09-10,6.9,출생의 비밀,sbs,2013-04-27,8.3,신데렐라 언니,kbs2,2010-03-31,20.2,불한당,sbs,2008-01-02,10.3,Dr. 깽,mbc,2006-04-05,12.5,봄날,sbs,2005-01-08,,사랑한다 말해줘,mbc,2004-02-25,,피아노,sbs,2001-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김균태,천 번째 남자,mbc,2012-08-17,6.7,된장군과 낫토짱의 결혼전쟁,mbc,2010-02-27,10.4,코끼리,mbc,2008-01-21,9.2,북경 내사랑,kbs2,2004-05-10,,누룽지 선생과 감자 일곱 개,kbs2,1999-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김기호,으라차차 와이키키 2,jtbc,2019-03-25,2.1,으라차차 와이키키,jtbc,2018-02-05,2.2,나청렴 의원 납치 사건,sbs,2016-04-13,3.2,푸른거탑 리턴즈,tvn,2013-11-27,1.2,푸른거탑 제로,tvn,2013-09-11,1.6,환상거탑,tvn,2013-07-17,0.7,푸른거탑,tvn,2013-01-23,1.7,김치 치즈 스마일,mbc,2007-07-23,11.2,"안녕, 프란체스카 시즌3",mbc,2005-09-05,8,논스톱 5,mbc,2004-10-04,,형사,sbs,2003-11-07,,논스톱 3,mbc,2002-06-28,,연인들,mbc,2001-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김기호,패션왕,sbs,2012-03-19,10.6,무적의 낙하산 요원,sbs,2006-09-06,17.6,달콤한 스파이,mbc,2005-11-07,14.6,신입사원,mbc,2005-03-23,,발리에서 생긴 일,sbs,2004-01-03,,천년지애,sbs,2003-03-22,,위기의 남자,mbc,2002-04-08,,뜨거운 것이 좋아,mbc,2000-07-10,,햇빛 속으로,mbc,1999-10-27,,내일을 향해 쏴라,mbc,1998-09-14,,복수혈전,mbc,1997-12-01,,별은 내 가슴에,mbc,1997-03-10,,사랑을 그대 품안에,mbc,1994-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김도우,일리 있는 사랑,tvn,2014-12-01,1.3,"나도, 꽃!",mbc,2011-11-09,8.1,여우야 뭐하니,mbc,2006-09-20,19.1,내 이름은 김삼순,mbc,2005-06-01,,눈사람,mbc,2003-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김도현,맛 좀 보실래요,sbs,2019-11-12,9.7,마이 시크릿 호텔,tvn,2014-08-18,1.4,굿바이 마눌,채널a,2012-05-07,0.7,조은지 패밀리,mbc,2010-10-17,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김두삼,물병자리,sbs,2008-03-03,17.8,그린 로즈,sbs,2005-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김미윤,선녀가 필요해,kbs2,2012-02-27,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김미정,TV소설 그 여자의 바다,kbs2,2017-02-27,11.5,드라마 스페셜 - 라이브 쇼크,kbs2,2015-08-14,3.3,드라마 스페셜 - 칠흑,kbs2,2014-06-01,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김민정,구르미 그린 달빛,kbs2,2016-08-22,23.3,후아유 - 학교 2015,kbs2,2015-04-27,8.2,드라마 스페셜 - 나에게로 와서 별이 되었다,kbs2,2013-11-03,3.4,드라마 스페셜 - Happy! 로즈데이,kbs2,2013-08-14,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김민주,내일도 맑음,kbs1,2018-05-07,24.1,부부클리닉 사랑과 전쟁 2,kbs2,2011-11-11,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김바다,패밀리,kbs2,2012-08-13,10.3,히어로,ocn,2012-03-18,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김보연,드라마 스페셜 - 아빠는 변태중,kbs2,2013-11-24,3.6,드라마 스페셜 - 사춘기 메들리,kbs2,2013-07-10,3.3,드라마 스페셜 - 늦어서 미안해,kbs2,2011-11-20,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김사경,하나뿐인 내편,kbs2,2018-09-15,49.4,불어라 미풍아,mbc,2016-08-27,26.6,장미빛 연인들,mbc,2014-10-18,28.9,오자룡이 간다,mbc,2012-11-19,21.3,내 사랑 내 곁에,sbs,2011-05-07,19.8,천만번 사랑해,sbs,2009-08-29,29.6,미우나 고우나,kbs1,2007-09-03,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김석곤,유리가면,tvn,2012-09-03,2.1,앙녀쟁투,xtm,2008-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김선영,그대 없인 못살아,mbc,2012-05-28,15.2,미스 리플리,mbc,2011-05-30,16.5,귀여운 여인,mbc,2003-11-10,,신귀공자,mbc,2000-07-12,,사랑과 이별,mbc,1997-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김선영,그대 없인 못살아,mbc,2012-05-28,15.2,미스 리플리,mbc,2011-05-30,16.5,귀여운 여인,mbc,2003-11-10,,신귀공자,mbc,2000-07-12,,사랑과 이별,mbc,1997-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김솔지,신드롬,jtbc,2012-02-13,1.6,맨땅에 헤딩,mbc,2009-09-09,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김수용,도깨비 뚜구닥,sbs,2011-08-10,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김수진,괴물,jtbc,2021,,매드독,kbs2,2017-10-11,9.7,라이프 특별조사팀,mbc,2008-04-13,,비포&애프터 성형외과,mbc,2008-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김수현,"그래, 그런거야",sbs,2016-02-13,12.4,세 번 결혼하는 여자,sbs,2013-11-09,17.2,무자식 상팔자,jtbc,2012-10-27,9.2,아버지가 미안하다,tv조선,2012-01-23,1.7,천일의 약속,sbs,2011-10-17,19.8,인생은 아름다워,sbs,2010-03-20,24.3,엄마가 뿔났다,kbs2,2008-02-02,40.4,내 남자의 여자,sbs,2007-04-02,36.8,사랑과 야망,sbs,2006-02-04,27.3,홍소장의 가을,sbs,2004-11-14,,부모님 전상서,kbs2,2004-10-16,,완전한 사랑,sbs,2003-10-04,,내사랑 누굴까,kbs2,2002-03-02,,은사시나무,sbs,2000-11-14,,불꽃,sbs,2000-02-02,,청춘의 덫,sbs,1999-01-27,,사랑하니까,sbs,1997-10-27,,목욕탕집 남자들,kbs2,1995-11-18,,작별,sbs,1994-06-13,,산다는 것은,sbs,1993-04-24,,두 여자,mbc,1992-08-17,,여자 마흔다섯,sbs,1991-12-16,,사랑이 뭐길래,mbc,1991-11-23,,배반의 장미,mbc,1990-01-06,,모래성,mbc,1988-09-12,,사랑과 진실,mbc,1984-05-12,,다녀왔습니다,mbc,1983-03-28,,어제 그리고 내일,mbc,1982-10-18,,야상곡,mbc,1981-12-19,,사랑합시다,mbc,1981-09-14,,안녕하세요,mbc,1981-01-10,,엄마 아빠 좋아,mbc,1979-05-26,,행복을 팝니다,mbc,1978-10-16,,신부일기,mbc,1975-06-02
김순옥,펜트하우스,sbs,2020-10-26,9.2,황후의 품격,sbs,2018-11-21,17.9,언니는 살아있다,sbs,2017-04-15,24,"내 딸, 금사월",mbc,2015-09-05,34.9,왔다! 장보리,mbc,2014-04-05,37.3,다섯 손가락,sbs,2012-08-18,14.1,"웃어요, 엄마",sbs,2010-11-06,17,천사의 유혹,sbs,2009-10-12,22.6,아내의 유혹,sbs,2008-11-03,37.5,그래도 좋아,mbc,2007-10-01,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김신혜,설렘주의보,mbn,2018-10-31,2.8,떴다! 패밀리,sbs,2015-01-03,4.7,불후의 명작,채널a,2012-03-17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김연신,내 남자의 비밀,kbs2,2017-09-18,21.8,천상의 약속,kbs2,2016-02-01,21.3,천국의 눈물,mbn,2014-10-11,3.3,TV로 보는 원작동화,ebs1,2011-04-05,,깡순이,ebs1,2004-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김영영,멜로가 체질,jtbc,2019-08-09,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김영인,사랑은 방울방울,sbs,2016-11-28,9,달려라 장미,sbs,2014-12-15,13.2,가족의 탄생,sbs,2012-12-05,11.7,여자를 몰라,sbs,2010-08-02,20.2,며느리와 며느님,sbs,2008-07-21,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김영현,아스달 연대기,tvn,2019-06-01,7.7,써클 : 이어진 두 세계,tvn,2017-05-22,2.9,육룡이 나르샤,sbs,2015-10-05,17.3,뿌리깊은 나무,sbs,2011-10-05,25.4,로열 패밀리,mbc,2011-03-02,15.7,선덕여왕,mbc,2009-05-25,43.6,최강칠우,kbs2,2008-06-17,14.7,히트,mbc,2007-03-19,18.5,서동요,sbs,2005-09-05,21.4,대장금,mbc,2003-09-15,,신화,sbs,2001-09-26,,애드버킷,mbc,1998-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김예리,마이 시크릿 호텔,tvn,2014-08-18,1.4,내게 거짓말을 해봐,sbs,2011-05-09,10.5,맨땅에 헤딩,mbc,2009-09-09,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김용래,못말리는 결혼,kbs2,2007-11-05,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
김욱,드라마 스페셜 - 당신의 누아르,kbs2,2013-10-09,4,공주의 남자,kbs2,2011-07-20,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
