윤성식,휴스턴국제영화제 TV부문 브론즈레미상,2010,서울드라마어워즈 장편부문 최우수작품상,2010,대한민국 국회대상 올해의 드라마상,2013,,,,,,,,,,,,,,,,,,,,,,
윤종호,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이건준,백상예술대상 TV부문 신인연출상,2003,,,,,,,,,,,,,,,,,,,,,,,,,,
이나정,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이덕건,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이민홍,한국방송프로듀서상 작품상,1991,KBS 연출상 ,1991,KBS 연출상,1997,한국방송대상 작품상,1999,한국PD대상 이달의 PD상,1999,YWCA 대상,1999,경제정의실천시민연합 특별상,1999,민주언론시민연합 선정 이달의 좋은 프로그램,1999,KBS 우수작품상,1999,KBS 우수작품상,2008,한국PD연합회 이달의 PD상,2013,중국 WUXI 프로듀서상,2013,KBS 우수프로그램상 최우수상,2013,"YWCA가 뽑은 좋은 TV프로그램상 청년,청소년부문",2013
이소연,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이은미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이은진,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이응복,휴스턴국제영화제 드라마부문 동상,2014,대한민국 대중문화예술상 국무총리 표창,2017,,,,,,,,,,,,,,,,,,,,,,,,
이재상,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이재훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이정미,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이정섭,로마픽션페스티벌 미니시리즈 부문 최우수작품상,2008,코리아드라마어워즈 연속극부문 연출상,2010,백상예술대상 TV부문 연출상,2011,,,,,,,,,,,,,,,,,,,,,,
이진서,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이현석,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이형민,아시아 레인보우 TV어워즈 최우수 감독상,2011,,,,,,,,,,,,,,,,,,,,,,,,,,
이호,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임세준,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전기상,서울문화예술대상 드라마연출부문 대상,2010,,,,,,,,,,,,,,,,,,,,,,,,,,
전산,백상예술대상 TV부문 신인연출상,1996,,,,,,,,,,,,,,,,,,,,,,,,,,
전우성,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전창근,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정정화,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정해룡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조웅,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지병현,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지영수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진형욱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
차영훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최상열,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최성범,서울 드라마 어워즈 어린이청소년부문 최우수 작품상,2008,,,,,,,,,,,,,,,,,,,,,,,,,,
최연수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
최윤석,,,,,,,,,,,,,,,,,,,,,,,,,,,,
표민수,백상예술대상 신인연출상,1998,방송기자들이 뽑은 2000년 최고의 드라마,2000,경실련 시청자가 뽑은 좋은 프로그램,2000,코리아 드라마 어워즈 연출상,2015,,,,,,,,,,,,,,,,,,,,
하병훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한상우,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한준서,,,,,,,,,,,,,,,,,,,,,,,,,,,,
함영훈,,,,,,,,,,,,,,,,,,,,,,,,,,,,
홍석구,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황승기,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황의경,뉴욕 TV&필름 페스티벌 예능 미니시리즈 부문 금상,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
황인혁,,,,,,,,,,,,,,,,,,,,,,,,,,,,
